 CHR_A         BP_A        SNP_A      MAF_A  CHR_B         BP_B        SNP_B      MAF_B           R2 
     6     14744856   6:14744856  0.0819672      6     13698183   6:13698183   0.131148    0.0134771 
     6     14744856   6:14744856  0.0819672      6     13698498   6:13698498   0.163934    0.0363025 
     6     14744856   6:14744856  0.0819672      6     13698971   6:13698971   0.147541    0.0154533 
     6     14744856   6:14744856  0.0819672      6     13699691   6:13699691   0.163934    0.0363025 
     6     14744856   6:14744856  0.0819672      6     13699712   6:13699712   0.131148    0.0134771 
     6     14744856   6:14744856  0.0819672      6     13699885   6:13699885   0.163934     0.017507 
     6     14744856   6:14744856  0.0819672      6     13699978   6:13699978   0.163934     0.017507 
     6     14744856   6:14744856  0.0819672      6     13700010   6:13700010   0.163934     0.017507 
     6     14744856   6:14744856  0.0819672      6     13700406   6:13700406   0.163934    0.0363025 
     6     14744856   6:14744856  0.0819672      6     13700479   6:13700479   0.180328      0.10639 
     6     14744856   6:14744856  0.0819672      6     13700528   6:13700528   0.163934     0.017507 
     6     14744856   6:14744856  0.0819672      6     13700692   6:13700692   0.459016      0.10523 
     6     14744856   6:14744856  0.0819672      6     13700693   6:13700693   0.459016      0.10523 
     6     14744856   6:14744856  0.0819672      6     13701069   6:13701069   0.163934     0.017507 
     6     14744856   6:14744856  0.0819672      6     13701474   6:13701474   0.163934    0.0363025 
     6     14744856   6:14744856  0.0819672      6     13701476   6:13701476   0.344262    0.0258673 
     6     14744856   6:14744856  0.0819672      6     13701564   6:13701564   0.131148    0.0134771 
     6     14744856   6:14744856  0.0819672      6     13701610   6:13701610   0.114754    0.0715136 
     6     14744856   6:14744856  0.0819672      6     13702324   6:13702324   0.131148    0.0134771 
     6     14744856   6:14744856  0.0819672      6     13702347   6:13702347   0.459016      0.10523 
     6     14744856   6:14744856  0.0819672      6     13702425   6:13702425   0.131148    0.0134771 
     6     14744856   6:14744856  0.0819672      6     13702522   6:13702522   0.163934     0.017507 
     6     14744856   6:14744856  0.0819672      6     13702526   6:13702526   0.344262    0.0258673 
     6     14744856   6:14744856  0.0819672      6     13702885   6:13702885   0.131148    0.0134771 
     6     14744856   6:14744856  0.0819672      6     13703735   6:13703735   0.131148    0.0134771 
     6     14744856   6:14744856  0.0819672      6     13704148   6:13704148   0.163934     0.017507 
     6     14744856   6:14744856  0.0819672      6     13704826   6:13704826   0.163934     0.017507 
     6     14744856   6:14744856  0.0819672      6     13705736   6:13705736   0.163934     0.017507 
     6     14744856   6:14744856  0.0819672      6     13706048   6:13706048   0.163934     0.017507 
     6     14744856   6:14744856  0.0819672      6     13706220   6:13706220   0.163934     0.017507 
     6     14744856   6:14744856  0.0819672      6     13706248   6:13706248   0.180328      0.10639 
     6     14744856   6:14744856  0.0819672      6     13706298   6:13706298   0.114754    0.0715136 
     6     14744856   6:14744856  0.0819672      6     13706367   6:13706367   0.131148    0.0134771 
     6     14744856   6:14744856  0.0819672      6     13706425   6:13706425   0.131148    0.0134771 
     6     14744856   6:14744856  0.0819672      6     13706468   6:13706468   0.180328      0.10639 
     6     14744856   6:14744856  0.0819672      6     13706483   6:13706483   0.163934     0.017507 
     6     14744856   6:14744856  0.0819672      6     13706539   6:13706539   0.163934     0.017507 
     6     14744856   6:14744856  0.0819672      6     13706587   6:13706587  0.0983607    0.0916017 
     6     14744856   6:14744856  0.0819672      6     13707652   6:13707652   0.180328      0.10639 
     6     14744856   6:14744856  0.0819672      6     13707763   6:13707763   0.180328      0.10639 
     6     14744856   6:14744856  0.0819672      6     13708004   6:13708004   0.131148    0.0134771 
     6     14744856   6:14744856  0.0819672      6     13708238   6:13708238   0.163934     0.017507 
     6     14744856   6:14744856  0.0819672      6     13708245   6:13708245   0.131148    0.0134771 
     6     14744856   6:14744856  0.0819672      6     13708358   6:13708358   0.163934    0.0363025 
     6     14744856   6:14744856  0.0819672      6     13708447   6:13708447   0.163934     0.017507 
     6     14744856   6:14744856  0.0819672      6     13708501   6:13708501   0.163934     0.017507 
     6     14744856   6:14744856  0.0819672      6     13708850   6:13708850   0.163934    0.0363025 
     6     14744856   6:14744856  0.0819672      6     13708900   6:13708900  0.0655738   0.00626566 
     6     14744856   6:14744856  0.0819672      6     13709222   6:13709222   0.295082    0.0373754 
     6     14744856   6:14744856  0.0819672      6     13709290   6:13709290   0.131148    0.0134771 
     6     14744856   6:14744856  0.0819672      6     13709568   6:13709568   0.295082    0.0373754 
     6     14744856   6:14744856  0.0819672      6     13710078   6:13710078   0.131148    0.0134771 
     6     14744856   6:14744856  0.0819672      6     13710081   6:13710081   0.131148    0.0134771 
     6     14744856   6:14744856  0.0819672      6     13710293   6:13710293   0.311475   0.00326262 
     6     14744856   6:14744856  0.0819672      6     13710563   6:13710563   0.163934    0.0363025 
     6     14744856   6:14744856  0.0819672      6     13710833   6:13710833   0.131148    0.0134771 
     6     14744856   6:14744856  0.0819672      6     13710867   6:13710867   0.114754    0.0715136 
     6     14744856   6:14744856  0.0819672      6     13711171   6:13711171   0.163934    0.0363025 
     6     14744856   6:14744856  0.0819672      6     13711172   6:13711172   0.163934    0.0363025 
     6     14744856   6:14744856  0.0819672      6     13711321   6:13711321   0.131148    0.0134771 
     6     14744856   6:14744856  0.0819672      6     13712887   6:13712887   0.163934    0.0363025 
     6     14744856   6:14744856  0.0819672      6     13712926   6:13712926   0.131148    0.0134771 
     6     14744856   6:14744856  0.0819672      6     13713186   6:13713186   0.131148    0.0134771 
     6     14744856   6:14744856  0.0819672      6     13713434   6:13713434   0.295082    0.0373754 
     6     14744856   6:14744856  0.0819672      6     13713497   6:13713497   0.131148    0.0134771 
     6     14744856   6:14744856  0.0819672      6     13713618   6:13713618   0.163934    0.0363025 
     6     14744856   6:14744856  0.0819672      6     13713690   6:13713690   0.114754    0.0715136 
     6     14744856   6:14744856  0.0819672      6     13714389   6:13714389   0.163934    0.0363025 
     6     14744856   6:14744856  0.0819672      6     13714731   6:13714731   0.163934    0.0363025 
     6     14744856   6:14744856  0.0819672      6     13715143   6:13715143   0.163934    0.0363025 
     6     14744856   6:14744856  0.0819672      6     13717081   6:13717081   0.295082    0.0373754 
     6     14744856   6:14744856  0.0819672      6     13717311   6:13717311   0.163934    0.0363025 
     6     14744856   6:14744856  0.0819672      6     13717862   6:13717862  0.0983607    0.0916017 
     6     14744856   6:14744856  0.0819672      6     13718558   6:13718558   0.131148    0.0134771 
     6     14744856   6:14744856  0.0819672      6     13719271   6:13719271   0.131148    0.0134771 
     6     14744856   6:14744856  0.0819672      6     13720065   6:13720065   0.327869   0.00210801 
     6     14744856   6:14744856  0.0819672      6     13721740   6:13721740   0.163934    0.0363025 
     6     14744856   6:14744856  0.0819672      6     13722661   6:13722661   0.295082   0.00472499 
     6     14744856   6:14744856  0.0819672      6     13723097   6:13723097   0.114754    0.0115741 
     6     14744856   6:14744856  0.0819672      6     13723363   6:13723363   0.163934    0.0363025 
     6     14744856   6:14744856  0.0819672      6     13723462   6:13723462   0.295082    0.0373754 
     6     14744856   6:14744856  0.0819672      6     13723660   6:13723660   0.114754    0.0115741 
     6     14744856   6:14744856  0.0819672      6     13723782   6:13723782   0.327869   0.00210801 
     6     14744856   6:14744856  0.0819672      6     13724277   6:13724277   0.163934    0.0363025 
     6     14744856   6:14744856  0.0819672      6     13724598   6:13724598   0.163934    0.0363025 
     6     14744856   6:14744856  0.0819672      6     13724904   6:13724904   0.180328    0.0291494 
     6     14744856   6:14744856  0.0819672      6     13726528   6:13726528   0.180328    0.0291494 
     6     14744856   6:14744856  0.0819672      6     13726578   6:13726578   0.114754    0.0115741 
     6     14744856   6:14744856  0.0819672      6     13728314   6:13728314   0.180328    0.0291494 
     6     14744856   6:14744856  0.0819672      6     13728381   6:13728381   0.180328    0.0291494 
     6     14744856   6:14744856  0.0819672      6     13729699   6:13729699   0.163934    0.0363025 
     6     14744856   6:14744856  0.0819672      6     13729950   6:13729950   0.180328    0.0291494 
     6     14744856   6:14744856  0.0819672      6     13730334   6:13730334   0.114754    0.0115741 
     6     14744856   6:14744856  0.0819672      6     13731152   6:13731152   0.180328    0.0291494 
     6     14744856   6:14744856  0.0819672      6     13731297   6:13731297  0.0983607    0.0916017 
     6     14744856   6:14744856  0.0819672      6     13731940   6:13731940   0.114754    0.0115741 
     6     14744856   6:14744856  0.0819672      6     13732096   6:13732096  0.0983607    0.0916017 
     6     14744856   6:14744856  0.0819672      6     13732583   6:13732583   0.131148    0.0134771 
     6     14744856   6:14744856  0.0819672      6     13733512   6:13733512   0.295082    0.0373754 
     6     14744856   6:14744856  0.0819672      6     13734012   6:13734012   0.114754    0.0115741 
     6     14744856   6:14744856  0.0819672      6     13734352   6:13734352   0.131148    0.0134771 
     6     14744856   6:14744856  0.0819672      6     13734932   6:13734932   0.311475   0.00326262 
     6     14744856   6:14744856  0.0819672      6     13735077   6:13735077   0.114754    0.0115741 
     6     14744856   6:14744856  0.0819672      6     13735268   6:13735268   0.131148    0.0134771 
     6     14744856   6:14744856  0.0819672      6     13735380   6:13735380   0.147541    0.0019536 
     6     14744856   6:14744856  0.0819672      6     13735434   6:13735434   0.131148    0.0134771 
     6     14744856   6:14744856  0.0819672      6     13736380   6:13736380   0.131148    0.0134771 
     6     14744856   6:14744856  0.0819672      6     13736918   6:13736918   0.114754    0.0115741 
     6     14744856   6:14744856  0.0819672      6     13737080   6:13737080   0.196721    0.0233479 
     6     14744856   6:14744856  0.0819672      6     13737395   6:13737395   0.163934    0.0363025 
     6     14744856   6:14744856  0.0819672      6     13737584   6:13737584   0.196721    0.0233479 
     6     14744856   6:14744856  0.0819672      6     13738016   6:13738016   0.163934    0.0363025 
     6     14744856   6:14744856  0.0819672      6     13738269   6:13738269   0.409836  3.57143e-05 
     6     14744856   6:14744856  0.0819672      6     13738362   6:13738362   0.163934    0.0363025 
     6     14744856   6:14744856  0.0819672      6     13738440   6:13738440   0.163934    0.0363025 
     6     14744856   6:14744856  0.0819672      6     13739968   6:13739968   0.163934    0.0363025 
     6     14744856   6:14744856  0.0819672      6     13739970   6:13739970   0.163934    0.0363025 
     6     14744856   6:14744856  0.0819672      6     13739996   6:13739996   0.311475   0.00326262 
     6     14744856   6:14744856  0.0819672      6     13740151   6:13740151   0.163934    0.0363025 
     6     14744856   6:14744856  0.0819672      6     13740203   6:13740203   0.163934    0.0363025 
     6     14744856   6:14744856  0.0819672      6     13740289   6:13740289   0.163934    0.0363025 
     6     14744856   6:14744856  0.0819672      6     13740359   6:13740359   0.163934    0.0363025 
     6     14744856   6:14744856  0.0819672      6     13740513   6:13740513   0.114754    0.0715136 
     6     14744856   6:14744856  0.0819672      6     13741802   6:13741802   0.131148    0.0134771 
     6     14744856   6:14744856  0.0819672      6     13742411   6:13742411   0.295082   0.00472499 
     6     14744856   6:14744856  0.0819672      6     13742561   6:13742561   0.163934    0.0363025 
     6     14744856   6:14744856  0.0819672      6     13742852   6:13742852   0.114754    0.0115741 
     6     14744856   6:14744856  0.0819672      6     13743148   6:13743148   0.114754    0.0115741 
     6     14744856   6:14744856  0.0819672      6     13744243   6:13744243  0.0983607    0.0916017 
     6     14744856   6:14744856  0.0819672      6     13744497   6:13744497   0.131148    0.0134771 
     6     14744856   6:14744856  0.0819672      6     13746305   6:13746305   0.114754    0.0715136 
     6     14744856   6:14744856  0.0819672      6     13746676   6:13746676   0.131148    0.0134771 
     6     14744856   6:14744856  0.0819672      6     13746983   6:13746983   0.114754    0.0715136 
     6     14744856   6:14744856  0.0819672      6     13747191   6:13747191   0.114754    0.0115741 
     6     14744856   6:14744856  0.0819672      6     13747557   6:13747557  0.0983607    0.0916017 
     6     14744856   6:14744856  0.0819672      6     13749098   6:13749098  0.0983607    0.0916017 
     6     14744856   6:14744856  0.0819672      6     13749224   6:13749224   0.163934    0.0363025 
     6     14744856   6:14744856  0.0819672      6     13750133   6:13750133   0.180328    0.0291494 
     6     14744856   6:14744856  0.0819672      6     13750213   6:13750213   0.163934    0.0363025 
     6     14744856   6:14744856  0.0819672      6     13751020   6:13751020   0.311475    0.0403912 
     6     14744856   6:14744856  0.0819672      6     13751987   6:13751987   0.114754    0.0115741 
     6     14744856   6:14744856  0.0819672      6     13752124   6:13752124   0.114754    0.0115741 
     6     14744856   6:14744856  0.0819672      6     13752180   6:13752180   0.163934    0.0363025 
     6     14744856   6:14744856  0.0819672      6     13752205   6:13752205   0.180328    0.0291494 
     6     14744856   6:14744856  0.0819672      6     13754135   6:13754135   0.163934    0.0363025 
     6     14744856   6:14744856  0.0819672      6     13754563   6:13754563   0.262295     0.031746 
     6     14744856   6:14744856  0.0819672      6     13754771   6:13754771  0.0983607    0.0916017 
     6     14744856   6:14744856  0.0819672      6     13755169   6:13755169   0.114754    0.0115741 
     6     14744856   6:14744856  0.0819672      6     13755396   6:13755396  0.0983607    0.0916017 
     6     14744856   6:14744856  0.0819672      6     13756608   6:13756608   0.114754    0.0115741 
     6     14744856   6:14744856  0.0819672      6     13757416   6:13757416   0.163934    0.0363025 
     6     14744856   6:14744856  0.0819672      6     13757690   6:13757690  0.0983607    0.0916017 
     6     14744856   6:14744856  0.0819672      6     13759309   6:13759309   0.245902    0.0291149 
     6     14744856   6:14744856  0.0819672      6     13759318   6:13759318   0.262295     0.031746 
     6     14744856   6:14744856  0.0819672      6     13760807   6:13760807   0.295082    0.0373754 
     6     14744856   6:14744856  0.0819672      6     13761536   6:13761536   0.442623  0.000657485 
     6     14744856   6:14744856  0.0819672      6     13761911   6:13761911   0.262295     0.031746 
     6     14744856   6:14744856  0.0819672      6     13762353   6:13762353   0.295082    0.0373754 
     6     14744856   6:14744856  0.0819672      6     13762651   6:13762651   0.442623  0.000657485 
     6     14744856   6:14744856  0.0819672      6     13763486   6:13763486   0.262295     0.031746 
     6     14744856   6:14744856  0.0819672      6     13763780   6:13763780   0.295082    0.0373754 
     6     14744856   6:14744856  0.0819672      6     13763935   6:13763935   0.114754    0.0115741 
     6     14744856   6:14744856  0.0819672      6     13764292   6:13764292   0.442623  0.000657485 
     6     14744856   6:14744856  0.0819672      6     13764324   6:13764324   0.163934    0.0363025 
     6     14744856   6:14744856  0.0819672      6     13764963   6:13764963   0.114754    0.0115741 
     6     14744856   6:14744856  0.0819672      6     13765136   6:13765136   0.442623   0.00896359 
     6     14744856   6:14744856  0.0819672      6     13765748   6:13765748   0.163934    0.0363025 
     6     14744856   6:14744856  0.0819672      6     13766043   6:13766043   0.163934    0.0363025 
     6     14744856   6:14744856  0.0819672      6     13766350   6:13766350   0.114754    0.0115741 
     6     14744856   6:14744856  0.0819672      6     13766380   6:13766380   0.262295   0.00179067 
     6     14744856   6:14744856  0.0819672      6     13767483   6:13767483   0.393443    0.0140002 
     6     14744856   6:14744856  0.0819672      6     13767936   6:13767936    0.42623  0.000251177 
     6     14744856   6:14744856  0.0819672      6     13768558   6:13768558   0.114754    0.0115741 
     6     14744856   6:14744856  0.0819672      6     13768645   6:13768645   0.393443    0.0140002 
     6     14744856   6:14744856  0.0819672      6     13769288   6:13769288   0.163934     0.123873 
     6     14744856   6:14744856  0.0819672      6     13769289   6:13769289   0.196721    0.0918914 
     6     14744856   6:14744856  0.0819672      6     13769539   6:13769539   0.114754    0.0115741 
     6     14744856   6:14744856  0.0819672      6     13769806   6:13769806   0.295082    0.0373754 
     6     14744856   6:14744856  0.0819672      6     13770532   6:13770532   0.163934    0.0363025 
     6     14744856   6:14744856  0.0819672      6     13770909   6:13770909   0.131148    0.0134771 
     6     14744856   6:14744856  0.0819672      6     13772097   6:13772097   0.163934    0.0363025 
     6     14744856   6:14744856  0.0819672      6     13772422   6:13772422   0.163934    0.0363025 
     6     14744856   6:14744856  0.0819672      6     13772706   6:13772706    0.42623  0.000251177 
     6     14744856   6:14744856  0.0819672      6     13772812   6:13772812   0.295082    0.0373754 
     6     14744856   6:14744856  0.0819672      6     13773208   6:13773208   0.163934    0.0363025 
     6     14744856   6:14744856  0.0819672      6     13773626   6:13773626   0.131148    0.0134771 
     6     14744856   6:14744856  0.0819672      6     13773758   6:13773758   0.163934    0.0363025 
     6     14744856   6:14744856  0.0819672      6     13773946   6:13773946   0.114754    0.0115741 
     6     14744856   6:14744856  0.0819672      6     13774338   6:13774338   0.409836     0.016254 
     6     14744856   6:14744856  0.0819672      6     13774626   6:13774626   0.114754    0.0115741 
     6     14744856   6:14744856  0.0819672      6     13774675   6:13774675   0.131148    0.0134771 
     6     14744856   6:14744856  0.0819672      6     13774752   6:13774752   0.114754    0.0115741 
     6     14744856   6:14744856  0.0819672      6     13775278   6:13775278   0.163934    0.0363025 
     6     14744856   6:14744856  0.0819672      6     13775306   6:13775306   0.163934    0.0363025 
     6     14744856   6:14744856  0.0819672      6     13775311   6:13775311   0.163934    0.0363025 
     6     14744856   6:14744856  0.0819672      6     13775784   6:13775784   0.180328    0.0291494 
     6     14744856   6:14744856  0.0819672      6     13777119   6:13777119   0.131148    0.0134771 
     6     14744856   6:14744856  0.0819672      6     13777216   6:13777216   0.295082    0.0373754 
     6     14744856   6:14744856  0.0819672      6     13777796   6:13777796   0.163934    0.0363025 
     6     14744856   6:14744856  0.0819672      6     13777990   6:13777990    0.42623  0.000251177 
     6     14744856   6:14744856  0.0819672      6     13778254   6:13778254  0.0983607    0.0916017 
     6     14744856   6:14744856  0.0819672      6     13778345   6:13778345    0.42623  0.000251177 
     6     14744856   6:14744856  0.0819672      6     13778636   6:13778636    0.42623  0.000251177 
     6     14744856   6:14744856  0.0819672      6     13778829   6:13778829   0.163934    0.0363025 
     6     14744856   6:14744856  0.0819672      6     13779540   6:13779540   0.114754    0.0115741 
     6     14744856   6:14744856  0.0819672      6     13780331   6:13780331   0.131148    0.0134771 
     6     14744856   6:14744856  0.0819672      6     13780410   6:13780410   0.131148     0.172246 
     6     14744856   6:14744856  0.0819672      6     13780900   6:13780900   0.442623   0.00896359 
     6     14744856   6:14744856  0.0819672      6     13781287   6:13781287   0.131148    0.0134771 
     6     14744856   6:14744856  0.0819672      6     13781605   6:13781605   0.278689   0.00275019 
     6     14744856   6:14744856  0.0819672      6     13782238   6:13782238   0.278689   0.00275019 
     6     14744856   6:14744856  0.0819672      6     13782404   6:13782404   0.295082    0.0373754 
     6     14744856   6:14744856  0.0819672      6     13783224   6:13783224   0.114754    0.0115741 
     6     14744856   6:14744856  0.0819672      6     13783468   6:13783468   0.262295   0.00179067 
     6     14744856   6:14744856  0.0819672      6     13784232   6:13784232   0.442623   0.00896359 
     6     14744856   6:14744856  0.0819672      6     13784363   6:13784363   0.131148    0.0134771 
     6     14744856   6:14744856  0.0819672      6     13784494   6:13784494   0.131148    0.0134771 
     6     14744856   6:14744856  0.0819672      6     13784659   6:13784659   0.147541    0.0019536 
     6     14744856   6:14744856  0.0819672      6     13784890   6:13784890   0.262295   0.00179067 
     6     14744856   6:14744856  0.0819672      6     13785195   6:13785195   0.147541    0.0019536 
     6     14744856   6:14744856  0.0819672      6     13785215   6:13785215   0.147541    0.0019536 
     6     14744856   6:14744856  0.0819672      6     13787312   6:13787312   0.114754    0.0115741 
     6     14744856   6:14744856  0.0819672      6     13787668   6:13787668   0.442623   0.00896359 
     6     14744856   6:14744856  0.0819672      6     13787716   6:13787716   0.147541    0.0019536 
     6     14744856   6:14744856  0.0819672      6     13787941   6:13787941   0.114754    0.0115741 
     6     14744856   6:14744856  0.0819672      6     13788053   6:13788053   0.131148    0.0134771 
     6     14744856   6:14744856  0.0819672      6     13788486   6:13788486   0.131148    0.0134771 
     6     14744856   6:14744856  0.0819672      6     13788993   6:13788993   0.262295     0.031746 
     6     14744856   6:14744856  0.0819672      6     13789277   6:13789277   0.147541    0.0019536 
     6     14744856   6:14744856  0.0819672      6     13789304   6:13789304   0.147541    0.0019536 
     6     14744856   6:14744856  0.0819672      6     13789377   6:13789377   0.131148    0.0134771 
     6     14744856   6:14744856  0.0819672      6     13790244   6:13790244   0.147541    0.0019536 
     6     14744856   6:14744856  0.0819672      6     13790330   6:13790330   0.147541    0.0019536 
     6     14744856   6:14744856  0.0819672      6     13790348   6:13790348   0.147541    0.0019536 
     6     14744856   6:14744856  0.0819672      6     13790360   6:13790360   0.114754    0.0115741 
     6     14744856   6:14744856  0.0819672      6     13790566   6:13790566   0.147541    0.0019536 
     6     14744856   6:14744856  0.0819672      6     13791141   6:13791141   0.442623   0.00896359 
     6     14744856   6:14744856  0.0819672      6     13791725   6:13791725   0.295082    0.0373754 
     6     14744856   6:14744856  0.0819672      6     13792052   6:13792052   0.147541    0.0019536 
     6     14744856   6:14744856  0.0819672      6     13792850   6:13792850   0.131148    0.0134771 
     6     14744856   6:14744856  0.0819672      6     13793209   6:13793209   0.295082    0.0373754 
     6     14744856   6:14744856  0.0819672      6     13793364   6:13793364   0.442623   0.00896359 
     6     14744856   6:14744856  0.0819672      6     13794017   6:13794017   0.262295   0.00179067 
     6     14744856   6:14744856  0.0819672      6     13794517   6:13794517   0.262295   0.00179067 
     6     14744856   6:14744856  0.0819672      6     13794791   6:13794791   0.147541    0.0019536 
     6     14744856   6:14744856  0.0819672      6     13794939   6:13794939   0.442623   0.00896359 
     6     14744856   6:14744856  0.0819672      6     13798369   6:13798369   0.295082    0.0373754 
     6     14744856   6:14744856  0.0819672      6     13798379   6:13798379   0.295082    0.0373754 
     6     14744856   6:14744856  0.0819672      6     13798439   6:13798439   0.131148     0.172246 
     6     14744856   6:14744856  0.0819672      6     13798566   6:13798566   0.114754    0.0115741 
     6     14744856   6:14744856  0.0819672      6     13798841   6:13798841   0.131148    0.0134771 
     6     14744856   6:14744856  0.0819672      6     13799446   6:13799446   0.278689   0.00275019 
     6     14744856   6:14744856  0.0819672      6     13799585   6:13799585   0.442623   0.00896359 
     6     14744856   6:14744856  0.0819672      6     13799645   6:13799645   0.114754    0.0115741 
     6     14744856   6:14744856  0.0819672      6     13799846   6:13799846   0.442623   0.00896359 
     6     14744856   6:14744856  0.0819672      6     13800014   6:13800014   0.442623   0.00896359 
     6     14744856   6:14744856  0.0819672      6     13800808   6:13800808   0.114754    0.0115741 
     6     14744856   6:14744856  0.0819672      6     13801138   6:13801138   0.278689   0.00275019 
     6     14744856   6:14744856  0.0819672      6     13801247   6:13801247   0.147541    0.0019536 
     6     14744856   6:14744856  0.0819672      6     13802104   6:13802104   0.114754    0.0115741 
     6     14744856   6:14744856  0.0819672      6     13802651   6:13802651   0.114754     0.206954 
     6     14744856   6:14744856  0.0819672      6     13803130   6:13803130   0.131148    0.0134771 
     6     14744856   6:14744856  0.0819672      6     13803191   6:13803191   0.278689   0.00275019 
     6     14744856   6:14744856  0.0819672      6     13803258   6:13803258   0.295082    0.0373754 
     6     14744856   6:14744856  0.0819672      6     13803356   6:13803356   0.245902    0.0291149 
     6     14744856   6:14744856  0.0819672      6     13803357   6:13803357   0.147541    0.0019536 
     6     14744856   6:14744856  0.0819672      6     13803895   6:13803895   0.278689   0.00275019 
     6     14744856   6:14744856  0.0819672      6     13804002   6:13804002   0.245902    0.0291149 
     6     14744856   6:14744856  0.0819672      6     13804003   6:13804003   0.442623   0.00896359 
     6     14744856   6:14744856  0.0819672      6     13804116   6:13804116   0.245902    0.0291149 
     6     14744856   6:14744856  0.0819672      6     13804282   6:13804282  0.0655738   0.00626566 
     6     14744856   6:14744856  0.0819672      6     13804570   6:13804570   0.262295   0.00179067 
     6     14744856   6:14744856  0.0819672      6     13804854   6:13804854   0.147541    0.0019536 
     6     14744856   6:14744856  0.0819672      6     13804947   6:13804947   0.295082    0.0373754 
     6     14744856   6:14744856  0.0819672      6     13805107   6:13805107   0.442623   0.00896359 
     6     14744856   6:14744856  0.0819672      6     13805277   6:13805277   0.442623   0.00896359 
     6     14744856   6:14744856  0.0819672      6     13805279   6:13805279   0.245902    0.0291149 
     6     14744856   6:14744856  0.0819672      6     13805392   6:13805392   0.131148    0.0134771 
     6     14744856   6:14744856  0.0819672      6     13805397   6:13805397   0.295082    0.0373754 
     6     14744856   6:14744856  0.0819672      6     13805830   6:13805830   0.262295   0.00179067 
     6     14744856   6:14744856  0.0819672      6     13806186   6:13806186   0.131148    0.0134771 
     6     14744856   6:14744856  0.0819672      6     13806573   6:13806573   0.147541      0.14533 
     6     14744856   6:14744856  0.0819672      6     13806633   6:13806633   0.131148    0.0134771 
     6     14744856   6:14744856  0.0819672      6     13806803   6:13806803   0.131148    0.0134771 
     6     14744856   6:14744856  0.0819672      6     13806988   6:13806988   0.131148    0.0134771 
     6     14744856   6:14744856  0.0819672      6     13807004   6:13807004   0.147541    0.0019536 
     6     14744856   6:14744856  0.0819672      6     13808373   6:13808373   0.409836     0.016254 
     6     14744856   6:14744856  0.0819672      6     13808904   6:13808904   0.114754    0.0115741 
     6     14744856   6:14744856  0.0819672      6     13809303   6:13809303   0.114754    0.0115741 
     6     14744856   6:14744856  0.0819672      6     13809312   6:13809312   0.131148    0.0134771 
     6     14744856   6:14744856  0.0819672      6     13809401   6:13809401   0.442623   0.00896359 
     6     14744856   6:14744856  0.0819672      6     13809787   6:13809787   0.114754    0.0115741 
     6     14744856   6:14744856  0.0819672      6     13810595   6:13810595   0.114754     0.206954 
     6     14744856   6:14744856  0.0819672      6     13810662   6:13810662   0.114754    0.0115741 
